presenceID,staffID,date,timeIN,timeOut
P001,S001,2026-01-02,08:00,17:00
P002,S002,2026-01-02,08:15,17:15
P003,S003,2026-01-02,08:05,17:05
P004,S004,2026-01-02,08:10,17:10
P005,S005,2026-01-02,08:00,17:00
P006,S006,2026-01-02,08:00,17:00
P007,S007,2026-01-02,08:15,17:15
P008,S008,2026-01-02,08:05,17:05
P009,S009,2026-01-02,08:10,17:10
P010,S010,2026-01-02,08:00,17:00
P011,S011,2026-01-03,08:05,17:05
P012,S012,2026-01-03,08:00,17:00
P013,S013,2026-01-03,08:10,17:10
P014,S014,2026-01-03,08:15,17:15
P015,S015,2026-01-03,08:05,17:05
P016,S016,2026-01-04,08:00,17:00
P017,S017,2026-01-04,08:10,17:10
P018,S018,2026-01-04,08:15,17:15
P019,S019,2026-01-04,08:05,17:05
P020,S020,2026-01-04,08:00,17:00
P021,S021,2026-01-05,08:10,17:10
P022,S022,2026-01-05,08:00,17:00
P023,S023,2026-01-05,08:05,17:05
P024,S024,2026-01-05,08:15,17:15
P025,S025,2026-01-05,08:00,17:00
P026,S026,2026-01-06,08:05,17:05
P027,S027,2026-01-06,08:10,17:10
P028,S028,2026-01-06,08:00,17:00
P029,S029,2026-01-06,08:15,17:15
P030,S030,2026-01-06,08:05,17:05
P031,S001,2026-01-07,08:00,17:00
P032,S002,2026-01-07,08:10,17:10
P033,S003,2026-01-07,08:05,17:05
P034,S004,2026-01-07,08:15,17:15
P035,S005,2026-01-07,08:00,17:00
P036,S006,2026-01-08,08:10,17:10
P037,S007,2026-01-08,08:05,17:05
P038,S008,2026-01-08,08:15,17:15
P039,S009,2026-01-08,08:00,17:00
P040,S010,2026-01-08,08:05,17:05
