Service name,Category id,Fee type,Fee amount,Has Active Offer,Status,Advance payment percentage
Special Tax Assignment,Tax Advisory Services,Fee Calculator,0,FALSE,TRUE,10
Evaluation of Tax Impact on Investments,Tax Advisory Services,Fee Calculator,0,FALSE,TRUE,10
Company Liquidation,Business Consulting Services,Fee Calculator,0,FALSE,TRUE,10
Formation and Registration of New Companies - BRELA,Business Consulting Services,OneOff,500000,FALSE,TRUE,10
Preparation of Organization Structure.,Business Consulting Services,OneOff,300000,FALSE,TRUE,10
Operational Systems Audit,Audit Services,Fee Calculator,0,FALSE,TRUE,10
Financial Management Training,Business Consulting Services,Fee Calculator,0,FALSE,TRUE,10
Management Accounts Preparation,Accounting Services,Fee Calculator,0,FALSE,TRUE,10
VAT Certificate Follow-up,Tax Advisory Services,OneOff,200000,FALSE,TRUE,10
Management Audits,Audit Services,Fee Calculator,0,FALSE,TRUE,10
Internal Audits,Audit Services,Fee Calculator,0,FALSE,TRUE,10
Preparation of Payroll,Accounting Services,Fee Calculator,0,FALSE,TRUE,10
Statutory Audits,Audit Services,Fee Calculator,0,FALSE,TRUE,10
Due Diligence Audit,Audit Services,Fee Calculator,0,FALSE,TRUE,10
Carrying out Feasibility Studies and Project Appraisals,Business Consulting Services,Fee Calculator,0,FALSE,TRUE,10
Business Plan Preparation,Business Consulting Services,Fee Calculator,0,FALSE,TRUE,10
Mergers & Acquisition,Business Consulting Services,Fee Calculator,0,FALSE,TRUE,10
Accounting Manual Preparation,Accounting Services,Fee Calculator,0,FALSE,TRUE,10
Preparation of Transfer Pricing Documentations,Tax Advisory Services,Fee Calculator,0,FALSE,TRUE,10
"Technical License Application; TCRA, TMDA, COSOTA Etc",Business Consulting Services,OneOff,200000,FALSE,TRUE,10
"Preparation of Scheme of Services, Salary Structure and Staff Regulations",Business Consulting Services,Fee Calculator,0,FALSE,TRUE,10
Corporate Tax - Estimated Tax Payable (SETP),Tax Advisory Services,Quarterly,100000,FALSE,TRUE,10
Bookkeeping,Accounting Services,Fee Calculator,0,FALSE,TRUE,10
BOT Quarterly Reports Submission,Business Consulting Services,OneOff,200000,FALSE,TRUE,10
Compliance Audit,Audit Services,Fee Calculator,0,FALSE,TRUE,10
Stocktaking and Valuation,Business Consulting Services,Fee Calculator,0,FALSE,TRUE,10
Special Accounting Assignment,Accounting Services,Fee Calculator,0,FALSE,TRUE,10
Employment Taxes (PAYE & SDL) Computation & Filing,Tax Advisory Services,Monthly,5000,FALSE,TRUE,10
Business License Application,Business Consulting Services,OneOff,10000,FALSE,TRUE,10
Tax Health Review Services,Tax Advisory Services,OneOff,5000,FALSE,TRUE,10
Design & Implementation of Financial Systems,Business Consulting Services,Fee Calculator,0,FALSE,TRUE,10
Monthly Computations Withholding Tax & Filing,Tax Advisory Services,Monthly,5000,FALSE,TRUE,10
Forensic Audit,Audit Services,Fee Calculator,0,FALSE,TRUE,10
Monthly Bank Reconciliation,Accounting Services,OneOff,10000,FALSE,TRUE,10
Business Strategic Planning,Business Consulting Services,Fee Calculator,0,FALSE,TRUE,10
Representation in Tax Examinations - Handling all Tax Correspondences,Tax Advisory Services,Fee Calculator,0,FALSE,TRUE,10
Costing & Cost Analysis,Accounting Services,Fee Calculator,0,FALSE,TRUE,10
Preparation of Risk Management Framework and Register,Business Consulting Services,Fee Calculator,0,FALSE,TRUE,10
Special Audit,Audit Services,Fee Calculator,0,FALSE,TRUE,10
Tax Clearance Certificate Follow-up,Tax Advisory Services,OneOff,10000,FALSE,TRUE,10
Share & Business Valuation,Business Consulting Services,Fee Calculator,0,FALSE,TRUE,10
Employment Deductions (NSSF & WCF) Computation & Filing,Tax Advisory Services,Monthly,5000,FALSE,TRUE,10
Tax Planning,Tax Advisory Services,Fee Calculator,0,FALSE,TRUE,10
Monthly VAT Returns - Computation & Filing,Tax Advisory Services,Monthly,10000,FALSE,TRUE,10
City Service Levy - Computation & Filing,Tax Advisory Services,Quarterly,100000,FALSE,TRUE,10
Fixed Assest Coding,Business Consulting Services,Fee Calculator,0,FALSE,TRUE,10
Business Restructuring,Business Consulting Services,Fee Calculator,0,FALSE,TRUE,10
Procurement Consultations,Business Consulting Services,Fee Calculator,0,FALSE,TRUE,10
Financial Statements Preparation,Accounting Services,Fee Calculator,0,FALSE,TRUE,10
Corporate Manpower Planning,Business Consulting Services,Fee Calculator,0,FALSE,TRUE,10
Spot Check Audit,Audit Services,Fee Calculator,0,FALSE,TRUE,10
Preparation of Various Business Policies and Guidelines,Business Consulting Services,Fee Calculator,0,FALSE,TRUE,10
